file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error,rank_for_t0,t0_ms,dt_ms,R_um_final,v_eff_um_per_ms
FAPI_TEMPO_22_10,8818.8017,42.6857,406.3009,13.5898,0.328689,0.045025,0,0.0,0.0,5.54297,0.006886,0.324723,0.04059,57,0.5377358490566038,599.4622641509434,52.982183471469156,0.08838285016407363
FAPI_TEMPO_39_43,8815.2893,42.6772,443.5847,14.1996,0.43702,0.036146,0,0.0,0.0,5.648155,0.006893,0.213803,0.026725,58,0.5471698113207547,599.4528301886793,52.97163140550032,0.08836663827048304
FAPI_TEMPO_49_18,8700.4132,42.3982,382.414,13.1843,0.252378,0.051679,0,0.0,0.0,5.384794,0.006912,0.159635,0.019954,59,0.5566037735849056,599.4433962264151,52.62535069188566,0.08779035856124202
FAPI_TEMPO_32_10,8686.157,42.3634,399.0928,13.4687,0.314686,0.046377,0,0.0,0.0,5.69068,0.006948,0.233972,0.029246,60,0.5660377358490566,599.433962264151,52.58221796429413,0.08771978445412618
FAPI_TEMPO_18_10,8658.0579,42.2949,400.0743,13.4853,0.32025,0.045945,0,0.0,0.0,5.684098,0.006958,0.180807,0.022601,61,0.5754716981132075,599.4245283018868,52.49709920292425,0.08757916422213083
FAPI_TEMPO_34_4,8556.8182,42.0469,367.3014,12.9211,0.202966,0.056214,2,38.2231,4.529,5.834929,0.007011,0.123054,0.015382,62,0.5849056603773585,599.4150943396227,52.18926927384008,0.08706699208390331
FAPI_TEMPO_9_11,8544.0083,42.0154,376.1417,13.0757,0.241128,0.052893,0,0.0,0.0,5.427551,0.006987,0.147216,0.018402,63,0.5943396226415094,599.4056603773585,52.150189927998944,0.08700316559434484
FAPI_TEMPO_7_1,8530.1653,41.9813,375.0342,13.0564,0.237876,0.053197,1,76.6529,0.0,5.356007,0.006992,0.153872,0.019234,64,0.6037735849056604,599.3962264150944,52.10792594003259,0.08693402401226791
FAPI_TEMPO_16_61,8435.9504,41.7488,470.9221,14.6306,0.52198,0.029796,4,79.5455,5.5244,5.775485,0.00706,0.323419,0.040427,65,0.6132075471698113,599.3867924528302,51.819363288987866,0.0864539625188119
FAPI_TEMPO_24_26,8432.8512,41.7412,396.9705,13.4328,0.327538,0.045632,0,0.0,0.0,5.636263,0.007046,0.538477,0.06731,66,0.6226415094339622,599.377358490566,51.80984371407467,0.08643944082997945
FAPI_TEMPO_41_36,8100.2066,40.9096,411.809,13.6816,0.399775,0.039998,0,0.0,0.0,5.789427,0.007203,0.41007,0.051259,67,0.6320754716981132,599.3679245283018,50.77771007943535,0.08471876455417103
FAPI_TEMPO_9_10,8088.843,40.8809,388.1002,13.2819,0.325148,0.046317,0,0.0,0.0,5.38997,0.007169,0.152393,0.019049,68,0.6415094339622641,599.3584905660377,50.742080117872106,0.08466065120717817
FAPI_TEMPO_32_26,8009.2975,40.6794,383.6161,13.205,0.316072,0.047213,1,22.314,0.0,5.597696,0.00723,0.441029,0.055129,69,0.6509433962264151,599.3490566037735,50.49196545626957,0.08424467328335104
FAPI_TEMPO_33_17,7994.2149,40.6411,367.0319,12.9164,0.254276,0.052623,5,104.3388,4.9414,5.712189,0.007245,0.181269,0.022659,70,0.660377358490566,599.3396226415094,50.444401423227966,0.0841666386095099
FAPI_TEMPO_30_18,7893.3884,40.384,371.8012,13.0,0.282451,0.050312,0,0.0,0.0,5.525141,0.007272,0.256649,0.032081,71,0.6698113207547169,599.3301886792453,50.125278684596395,0.08363549781308091
FAPI_TEMPO_50_8,7830.9917,40.224,362.2769,12.8324,0.2502,0.053258,1,19.8347,0.0,5.661641,0.007316,0.179409,0.022426,72,0.6792452830188679,599.3207547169811,49.92676713680958,0.0833055867727902
