frame_id,time_ms,annotation_id,class,area_px,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,R_px
frame_00021_t42.00ms,0.0,30,,1468,1314.0,1404.0,1292.0,1380.0,44.0,48.0,21.616635097022034
frame_00022_t44.00ms,0.0,1,,15989900,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2256.0459323981404
frame_00022_t44.00ms,0.0,2,,120516,4579.0,2973.0,4454.0,2614.0,250.0,718.0,195.86075217696302
frame_00022_t44.00ms,0.0,4,,65904,4557.0,1037.0,4410.0,886.0,294.0,302.0,144.83747698388197
frame_00022_t44.00ms,0.0,5,,64580,4550.0,2410.0,4396.0,2270.0,308.0,280.0,143.37521560489176
frame_00022_t44.00ms,0.0,7,,52328,4595.0,257.0,4486.0,0.0,218.0,514.0,129.06013995120801
frame_00022_t44.00ms,0.0,8,,50972,92.0,320.0,0.0,142.0,184.0,356.0,127.37696620095872
frame_00022_t44.00ms,0.0,12,,41436,4616.0,1402.0,4528.0,1252.0,176.0,300.0,114.84549814386087
frame_00022_t44.00ms,0.0,13,,41144,4483.0,3335.0,4330.0,3246.0,306.0,178.0,114.44012389518758
frame_00022_t44.00ms,0.0,14,,39992,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.8266323536343
frame_00022_t44.00ms,0.0,16,,34828,4620.0,3148.0,4536.0,2976.0,168.0,344.0,105.29053478831354
frame_00022_t44.00ms,0.0,18,,29904,4597.0,90.0,4490.0,0.0,214.0,180.0,97.56402429399925
frame_00023_t46.00ms,0.0,1,,15990296,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2256.0738684283197
frame_00023_t46.00ms,0.0,2,,118760,4580.0,2972.0,4456.0,2616.0,248.0,712.0,194.42860407663008
frame_00023_t46.00ms,0.0,6,,66200,4558.0,1037.0,4412.0,884.0,292.0,306.0,145.16237276018515
frame_00023_t46.00ms,0.0,7,,64736,4549.0,2411.0,4394.0,2272.0,310.0,278.0,143.54828035192156
frame_00023_t46.00ms,0.0,9,,51560,4596.0,256.0,4488.0,0.0,216.0,512.0,128.1095536313988
frame_00023_t46.00ms,0.0,10,,50480,92.0,321.0,0.0,144.0,184.0,354.0,126.76073151634048
frame_00023_t46.00ms,0.0,13,,41460,4616.0,1402.0,4528.0,1252.0,176.0,300.0,114.87875295797723
frame_00023_t46.00ms,0.0,15,,40780,4484.0,3335.0,4332.0,3246.0,304.0,178.0,113.93277473394117
frame_00023_t46.00ms,0.0,17,,40024,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.87176300838061
frame_00023_t46.00ms,0.0,18,,34636,4620.0,3148.0,4536.0,2976.0,168.0,344.0,104.99991056120845
frame_00023_t46.00ms,0.0,21,,29912,4597.0,90.0,4490.0,0.0,214.0,180.0,97.57707371882776
frame_00023_t46.00ms,0.0,25,,4136,87.0,585.0,0.0,540.0,174.0,90.0,36.2840142384516
frame_00024_t48.00ms,0.0,1,,15982764,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.542460194972
frame_00024_t48.00ms,0.0,2,,119496,4579.0,2973.0,4454.0,2616.0,250.0,714.0,195.03014679638184
frame_00024_t48.00ms,0.0,4,,83076,4544.0,646.0,4384.0,448.0,320.0,396.0,162.6158421083401
frame_00024_t48.00ms,0.0,5,,67076,4557.0,1038.0,4410.0,884.0,294.0,308.0,146.11965619198514
frame_00024_t48.00ms,0.0,7,,65460,4549.0,2409.0,4394.0,2268.0,310.0,282.0,144.34876220318253
frame_00024_t48.00ms,0.0,8,,63296,96.0,3185.0,0.0,2952.0,192.0,466.0,141.9427439353249
frame_00024_t48.00ms,0.0,13,,52032,4597.0,257.0,4490.0,0.0,214.0,514.0,128.69459972320126
frame_00024_t48.00ms,0.0,14,,51928,93.0,322.0,0.0,144.0,186.0,356.0,128.56591993896313
frame_00024_t48.00ms,0.0,15,,48240,93.0,698.0,0.0,540.0,186.0,316.0,123.91637869751546
frame_00024_t48.00ms,0.0,17,,41476,4616.0,1403.0,4528.0,1252.0,176.0,302.0,114.90091748701967
frame_00024_t48.00ms,0.0,18,,40952,4484.0,3335.0,4332.0,3246.0,304.0,178.0,114.17279211352675
frame_00024_t48.00ms,0.0,20,,39976,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.80406025530826
frame_00024_t48.00ms,0.0,21,,34664,4620.0,3148.0,4536.0,2976.0,168.0,344.0,105.04234334150642
frame_00024_t48.00ms,0.0,23,,29768,4598.0,90.0,4492.0,0.0,212.0,180.0,97.34191641794958
frame_00024_t48.00ms,0.0,28,,4508,88.0,589.0,0.0,540.0,176.0,98.0,37.88061465864207
frame_00025_t50.00ms,0.0,1,,15986740,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.8229961257716
frame_00025_t50.00ms,0.0,2,,119580,4579.0,2971.0,4454.0,2616.0,250.0,710.0,195.09868320892812
frame_00025_t50.00ms,0.0,5,,69132,97.0,3183.0,0.0,2944.0,194.0,478.0,148.34216882484162
frame_00025_t50.00ms,0.0,7,,66888,4556.0,1037.0,4408.0,884.0,296.0,306.0,145.91474108897083
frame_00025_t50.00ms,0.0,8,,64756,4548.0,2411.0,4392.0,2272.0,312.0,278.0,143.57045305256074
frame_00025_t50.00ms,0.0,14,,52792,4595.0,257.0,4486.0,0.0,218.0,514.0,129.63107463650326
frame_00025_t50.00ms,0.0,15,,50588,92.0,321.0,0.0,142.0,184.0,358.0,126.89625889783198
frame_00025_t50.00ms,0.0,18,,41992,4615.0,1402.0,4526.0,1252.0,178.0,300.0,115.61344532808344
frame_00025_t50.00ms,0.0,19,,40960,4482.0,3335.0,4330.0,3246.0,304.0,178.0,114.18394343377736
frame_00025_t50.00ms,0.0,21,,40112,4616.0,2765.0,4528.0,2620.0,176.0,290.0,112.99577936632949
frame_00025_t50.00ms,0.0,22,,34732,4620.0,3147.0,4536.0,2976.0,168.0,342.0,105.14532308636184
frame_00025_t50.00ms,0.0,24,,29768,4596.0,89.0,4488.0,0.0,216.0,178.0,97.34191641794958
frame_00025_t50.00ms,0.0,28,,4556,87.0,587.0,0.0,540.0,174.0,94.0,38.08175207961617
frame_00025_t50.00ms,0.0,40,,1416,2533.0,2464.0,2508.0,2446.0,50.0,36.0,21.23032733700184
frame_00026_t52.00ms,0.0,1,,15979868,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.338104212315
frame_00026_t52.00ms,0.0,2,,119728,4579.0,2971.0,4454.0,2614.0,250.0,714.0,195.21937929676164
frame_00026_t52.00ms,0.0,9,,70128,97.0,3184.0,0.0,2946.0,194.0,476.0,149.40694661995096
frame_00026_t52.00ms,0.0,12,,67108,4557.0,1039.0,4410.0,886.0,294.0,306.0,146.15450674550485
frame_00026_t52.00ms,0.0,13,,65732,4548.0,2409.0,4392.0,2268.0,312.0,282.0,144.64835097101152
frame_00026_t52.00ms,0.0,18,,52228,93.0,323.0,0.0,144.0,186.0,358.0,128.93676254508262
frame_00026_t52.00ms,0.0,19,,51980,4596.0,256.0,4488.0,0.0,216.0,512.0,128.63027592224716
frame_00026_t52.00ms,0.0,20,,50432,97.0,698.0,0.0,540.0,194.0,316.0,126.70045059123086
frame_00026_t52.00ms,0.0,22,,41848,4616.0,1403.0,4528.0,1252.0,176.0,302.0,115.41504285412397
frame_00026_t52.00ms,0.0,23,,41020,4483.0,3335.0,4330.0,3246.0,306.0,178.0,114.2675436476128
frame_00026_t52.00ms,0.0,25,,40084,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.9563343854211
frame_00026_t52.00ms,0.0,26,,34576,4620.0,3148.0,4536.0,2976.0,168.0,344.0,104.90892538145049
frame_00026_t52.00ms,0.0,29,,29652,4597.0,89.0,4490.0,0.0,214.0,178.0,97.15207020502322
frame_00026_t52.00ms,0.0,33,,4772,88.0,589.0,0.0,540.0,176.0,98.0,38.97402695217738
frame_00026_t52.00ms,0.0,45,,1320,2536.0,2464.0,2512.0,2446.0,48.0,36.0,20.49802550887777
frame_00027_t54.00ms,0.0,1,,15980324,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.3702830400375
frame_00027_t54.00ms,0.0,2,,119868,4579.0,2971.0,4454.0,2614.0,250.0,714.0,195.33348263182793
