dataset,track_id_input,frame_idx,t_ms,det_id,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,R_px,score,R_mono,track_id,r_px,time_ms,x_um,y_um,r_um
FAPI,4,29,58.0,5,4505.0,3065.0,4430.0,2970.0,150.0,190.0,19984.0,79.75653431222344,1.0,79.75653431222344,3,79.75653431222344,58.0,292.825,199.225,5.184174730294523
FAPI,9,29,58.0,2,4409.0,2855.0,4354.0,2820.0,110.0,70.0,5612.0,42.26529405154344,1.0,42.26529405154344,7,42.26529405154344,58.0,286.58500000000004,185.57500000000002,2.747244113350324
FAPI,12,29,58.0,7,3618.0,2921.0,3566.0,2890.0,104.0,62.0,5276.0,40.9805192683753,1.0,40.9805192683753,9,40.9805192683753,58.0,235.17000000000002,189.865,2.663733752444395
FAPI,2,29,58.0,8,3905.0,481.0,3888.0,460.0,34.0,42.0,1152.0,19.149229459268767,1.0,19.149229459268767,2,19.149229459268767,58.0,253.82500000000002,31.265,1.24469991485247
FAPI,5,29,58.0,1,4419.0,153.0,4266.0,6.0,306.0,294.0,59484.0,137.6021266905298,1.0,137.6021266905298,5,137.6021266905298,58.0,287.235,9.945,8.944138234884436
FAPI,12,30,60.0,7,3621.0,2919.0,3564.0,2884.0,114.0,70.0,6444.0,45.29005306431366,1.0,45.29005306431366,9,45.29005306431366,60.0,235.365,189.735,2.943853449180388
FAPI,1,30,60.0,5,4518.0,3330.0,4338.0,3238.0,360.0,184.0,45784.0,120.72075144331512,1.0,120.72075144331512,4,120.72075144331512,60.0,293.67,216.45000000000002,7.846848843815483
FAPI,2,30,60.0,9,3905.0,481.0,3888.0,460.0,34.0,42.0,1172.0,19.314740138231286,1.0,19.314740138231286,2,19.314740138231286,60.0,253.82500000000002,31.265,1.2554581089850336
FAPI,13,30,60.0,8,4665.0,3043.0,4626.0,2838.0,78.0,410.0,22824.0,85.23558436626594,1.0,85.23558436626594,10,85.23558436626594,60.0,303.225,197.79500000000002,5.540312983807286
FAPI,5,30,60.0,1,4422.0,154.0,4266.0,6.0,312.0,296.0,64652.0,143.45511758579556,1.0,143.45511758579556,5,143.45511758579556,60.0,287.43,10.01,9.324582643076711
FAPI,9,30,60.0,4,4410.0,2854.0,4350.0,2814.0,120.0,80.0,6656.0,46.029019134012735,1.0,46.029019134012735,7,46.029019134012735,60.0,286.65000000000003,185.51000000000002,2.991886243710828
FAPI,4,30,60.0,6,4505.0,3064.0,4426.0,2966.0,158.0,196.0,22348.0,84.34209705974446,1.0,84.34209705974446,3,84.34209705974446,60.0,292.825,199.16,5.48223630888339
FAPI,11,30,60.0,0,515.0,366.0,478.0,320.0,74.0,92.0,4992.0,39.86229988133503,1.0,39.86229988133503,8,39.86229988133503,60.0,33.475,23.79,2.591049492286777
FAPI,8,30,60.0,3,4189.0,3307.0,4122.0,3248.0,134.0,118.0,12016.0,61.84506118021413,1.0,61.84506118021413,6,61.84506118021413,60.0,272.285,214.955,4.019928976713919
