track_id_norm,row_class_norm,fit_status_norm,qc_pass_norm,primary_failure_mode,all_failure_modes_joined,tau_ms_norm,tau_lower_ms_norm,tau_upper_ms_norm,tau_lb_ratio,tau_ub_ratio,r2_norm,n_points_fit_norm,n_points_total_norm,fit_t_start_ms_norm,fit_t_end_ms_norm,fit_window_ms_norm,fit_window_over_tau,t0_ms_norm,R0_px_norm,Rinf_px_norm,model_name_norm
91,fit_ok_qc_fail,ok,0,unspecified,,16.301590913465287,,,,,0.6823122108991375,93,93,,,,,,,,
92,fit_ok_qc_fail,ok,0,unspecified,,14.352498293916735,,,,,0.8960472998621029,17,17,,,,,,,,
93,fit_ok_qc_fail,ok,0,unspecified,,10.748899235037287,,,,,0.914596251324738,91,91,,,,,,,,
94,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
95,fit_ok_qc_fail,ok,0,unspecified,,18.60745525170496,,,,,0.9590867430537754,163,163,,,,,,,,
97,fit_ok_qc_fail,ok,0,unspecified,,1999.9998581363216,,,,,0.0788337847095334,53,53,,,,,,,,
98,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
99,fit_ok_qc_fail,ok,0,unspecified,,1.3410032030607204,,,,,0.996861493459171,163,163,,,,,,,,
100,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000002,,,,,0.9966470439779592,68,68,,,,,,,,
101,fit_ok_qc_fail,ok,0,unspecified,,1999.9999999375564,,,,,0.7059185360708937,163,163,,,,,,,,
102,fit_ok_qc_fail,ok,0,unspecified,,122.5654697280356,,,,,0.4574458580640829,159,159,,,,,,,,
103,fit_ok_qc_fail,ok,0,unspecified,,7.589405639004928,,,,,0.5506616009492448,95,95,,,,,,,,
104,fit_ok_qc_fail,ok,0,unspecified,,8.063720903830143,,,,,0.4559314433872907,92,92,,,,,,,,
105,fit_ok_qc_fail,ok,0,unspecified,,1.6686650919961417,,,,,0.9947954907728704,112,112,,,,,,,,
106,fit_ok_qc_fail,ok,0,unspecified,,10.278339295527154,,,,,0.79375649174106,93,93,,,,,,,,
107,fit_ok_qc_fail,ok,0,unspecified,,1999.9999998509472,,,,,0.604804019272557,161,161,,,,,,,,
108,fit_ok_qc_fail,ok,0,unspecified,,10.89291131719702,,,,,0.60604450202054,91,91,,,,,,,,
110,fit_ok_qc_fail,ok,0,unspecified,,1.1132649219720152,,,,,0.8783791568553324,161,161,,,,,,,,
111,fit_ok_qc_fail,ok,0,unspecified,,17.21211919378051,,,,,0.830643564985937,87,87,,,,,,,,
112,fit_ok_qc_fail,ok,0,unspecified,,100.17960119017752,,,,,0.060787033992623,140,140,,,,,,,,
