dataset,t_s,active_count,sum_area_um2,mean_R_um
FAPI-TEMPO,0.0,134,42520.75490000001,9.892664660542907
FAPI-TEMPO,0.0,135,42750.5442,9.879136028021106
FAPI-TEMPO,0.0,135,43125.1834,9.936902611112975
FAPI-TEMPO,0.0,134,42459.407900000006,9.882461659559835
FAPI-TEMPO,0.0,135,42537.5028,9.846531835485091
FAPI-TEMPO,0.0,138,43941.9435,9.895742970280004
FAPI-TEMPO,0.0,135,43216.4772,9.93294345860501
FAPI-TEMPO,0.0,137,43996.8178,9.955432389758869
FAPI-TEMPO,0.0,134,42844.42370000001,9.929366304682455
FAPI-TEMPO,0.0,136,42732.4443,9.848672157275455
FAPI-TEMPO,0.0,136,43621.87440000001,9.950423468930202
FAPI-TEMPO,0.0,132,41756.1482,9.879363279893008
FAPI-TEMPO,0.0,137,41479.343100000006,9.632171870063631
FAPI-TEMPO,0.0,134,42270.39830000001,9.857189707592728
FAPI-TEMPO,0.0,134,42098.660500000005,9.84561159658243
FAPI-TEMPO,0.0,136,41590.88310000001,9.69391061031719
FAPI-TEMPO,0.0,136,42683.2484,9.816226254200789
FAPI-TEMPO,0.0,139,43504.656,9.792774173158064
FAPI-TEMPO,0.0,136,42456.90670000001,9.791709291574024
FAPI-TEMPO,0.0,136,42436.88020000001,9.788517257708566
FAPI-TEMPO,0.0,135,42272.054500000006,9.82083821824349
FAPI-TEMPO,0.0,132,41416.441300000006,9.83478182796608
FAPI-TEMPO,0.0,135,42646.389500000005,9.861918727796134
FAPI-TEMPO,0.0,135,42623.152,9.855022558104936
FAPI-TEMPO,0.0,134,42078.27910000001,9.838705807786331
FAPI-TEMPO,0.0,134,42031.53370000001,9.826151776686237
FAPI-TEMPO,0.0,132,41407.04490000001,9.827259718981647
FAPI-TEMPO,0.0,136,42372.4236,9.793977440854963
FAPI-TEMPO,0.0,136,42436.745,9.802221816187195
FAPI-TEMPO,0.0,134,41979.71830000001,9.828582499279223
FAPI-TEMPO,0.0,138,42849.13880000001,9.766717649895565
FAPI-TEMPO,0.0,138,42943.2718,9.790602441185776
FAPI-TEMPO,0.0,138,42745.170000000006,9.757782183132168
FAPI-TEMPO,0.0,134,41868.7191,9.80710868588201
FAPI-TEMPO,0.0,132,41835.274000000005,9.89081398143028
FAPI-TEMPO,0.0,18,3506.4458000000004,7.468486842463416
FAPI-TEMPO,0.0,18,3518.7997000000005,7.485006476844643
FAPI-TEMPO,0.0,17,3501.7307000000005,7.772796892961189
FAPI-TEMPO,0.0,14,3134.7303,8.140677507248219
FAPI-TEMPO,0.0,13,2607.9742,7.470229333793782
FAPI-TEMPO,0.0,14,2833.3188000000005,7.539390121837212
FAPI-TEMPO,0.0,13,2622.0519000000004,7.48898622721307
FAPI-TEMPO,0.0,14,2823.0098000000003,7.529860822221107
FAPI-TEMPO,0.0,16,3167.8205000000003,7.420880820403686
FAPI-TEMPO,0.0,15,3241.9608000000003,7.915572366160704
FAPI-TEMPO,0.0,14,2933.0626,7.993185061407705
FAPI-TEMPO,0.0,14,2922.0945,7.988520831751421
FAPI-TEMPO,0.0,15,3273.3948000000005,8.172780876692507
FAPI-TEMPO,0.0,15,3255.5822000000003,8.147674886592384
FAPI-TEMPO,0.0,15,3240.0342000000005,8.131577567504566
FAPI-TEMPO,0.0,15,3248.3321000000005,8.13985415439515
FAPI-TEMPO,0.0,16,3269.068400000001,7.718802095489482
FAPI-TEMPO,0.0,16,3274.6454000000003,7.725578711059224
FAPI-TEMPO,0.0,16,3290.2441000000003,7.743707093122475
FAPI-TEMPO,0.0,16,3281.2195,7.732893218838056
FAPI-TEMPO,0.0,17,3487.4840000000004,7.760265024652257
FAPI-TEMPO,0.0,16,3287.8950000000004,7.747982367604623
FAPI-TEMPO,0.0,11,2292.8399000000004,7.791454459190189
FAPI-TEMPO,0.0,16,3295.8549000000003,7.753957108501503
FAPI-TEMPO,0.0,10,2288.2769000000003,8.355602868553845
FAPI-TEMPO,0.0,11,2248.0718,7.635004280303351
FAPI-TEMPO,0.0,2,244.0022,6.01852598356779
FAPI-TEMPO,0.0,3,380.5542,6.194426184296884
FAPI-TEMPO,0.0,2,169.8788,5.166747231746039
FAPI-TEMPO,0.0,2,177.24720000000002,5.279037443160584
FAPI-TEMPO,0.0,2,183.58470000000003,5.371367631974171
FAPI-TEMPO,0.0,2,190.2771,5.468680630892007
FAPI-TEMPO,0.0,2,195.0767,5.539528724096024
FAPI-TEMPO,0.0,3,205.842,4.188530596892992
FAPI-TEMPO,0.0,3,286.8437,4.914077431966438
FAPI-TEMPO,0.0,3,292.11650000000003,4.960622955125834
FAPI-TEMPO,0.0,3,496.25160000000005,7.218985633329683
FAPI-TEMPO,0.0,5,666.3163000000001,6.020637734737082
FAPI-TEMPO,0.0,6,674.0903000000001,5.24551376639478
FAPI-TEMPO,0.0,6,833.1869,6.248407397527339
FAPI-TEMPO,0.0,8,1408.5812,6.899572533625955
FAPI-TEMPO,0.0,10,1752.2765000000002,6.76686392962976
FAPI-TEMPO,0.0,9,1574.1167000000005,6.9370035491608935
FAPI-TEMPO,0.0,11,2219.1052000000004,7.568871688442688
FAPI-TEMPO,0.0,11,2233.5716,7.607022238400178
FAPI-TEMPO,0.0,11,2265.6647000000003,7.677620881451436
FAPI-TEMPO,0.0,16,3308.175,7.769767207290932
FAPI-TEMPO,0.0,16,3291.9172000000003,7.753612961934228
FAPI-TEMPO,0.0,16,3377.752300000001,7.829616364815743
FAPI-TEMPO,0.0,16,3289.1287,7.746828480912749
FAPI-TEMPO,0.0,15,3306.9413000000004,8.199588903825832
FAPI-TEMPO,0.0,16,3520.2531000000004,8.199759879559231
FAPI-TEMPO,0.0,16,3504.0798000000004,8.184679900571137
FAPI-TEMPO,0.0,15,3300.7390000000005,8.189241904098328
FAPI-TEMPO,0.0,16,3497.9451000000004,8.17638645253605
FAPI-TEMPO,0.0,16,3496.3903000000005,8.175139193400952
FAPI-TEMPO,0.0,16,3518.242,8.197740879266384
FAPI-TEMPO,0.0,16,3504.603700000001,8.18375305358008
FAPI-TEMPO,0.0,16,3513.2565000000004,8.192006087353999
FAPI-TEMPO,0.0,16,3502.9644000000003,8.182067245714551
FAPI-TEMPO,0.0,17,3494.4637,7.7691489343127635
FAPI-TEMPO,0.0,16,3505.9895000000006,8.182502372523844
FAPI-TEMPO,0.0,16,3503.5221000000006,8.18174435262259
FAPI-TEMPO,0.0,15,3296.412600000001,8.184847497598676
FAPI-TEMPO,0.0,17,3505.0600000000004,7.778528754140219
FAPI-TEMPO,0.0,17,3490.8302000000003,7.764444197368156
FAPI-TEMPO,0.0,17,3503.8263,7.775127467097925
FAPI-TEMPO,0.0,17,3502.1532,7.772764521221922
FAPI-TEMPO,0.0,17,3318.5009000000005,7.453751205335418
FAPI-TEMPO,0.0,16,3293.4889000000003,7.750687829649029
FAPI-TEMPO,0.0,17,3320.697900000001,7.45654273764968
FAPI-TEMPO,0.0,17,3496.1199000000006,7.768276902724161
FAPI-TEMPO,0.0,15,3299.6912,8.192684870620313
FAPI-TEMPO,0.0,15,3295.1958000000004,8.187855933056644
