dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI-TEMPO,659,25.32620537329593,0.895417542161604,0.0744220258792655,2.369087635341704,70.0,ok,
FAPI-TEMPO,543,26.619369246452024,0.9953903411372718,0.0173755933390777,3.456129976192515,75.0,ok,
FAPI-TEMPO,569,27.102160907720982,0.5001192264666108,0.3546271960979845,3.689742686588196,73.0,qc_fail,
FAPI-TEMPO,575,27.56327037395716,0.9903288098549335,0.0260178261320444,2.4670512271377287,74.0,ok,
FAPI-TEMPO,736,27.88489719974193,0.9278771281202078,0.0435981190597172,2.295149217928345,62.0,ok,
FAPI-TEMPO,549,28.51060626137932,0.9472669431304386,0.0570291791058659,3.507466627795311,75.0,ok,
FAPI-TEMPO,577,28.98776762893965,0.9810097994745228,0.0391935968299877,2.4148116852612063,74.0,ok,
FAPI-TEMPO,734,31.130726082079683,0.992623405023143,0.0236654710750632,0.9636781333304468,20.0,qc_fail,
FAPI-TEMPO,756,31.26548216226847,0.9774173439832884,0.0471101963829333,1.407302781119419,60.0,ok,
FAPI-TEMPO,579,32.77862880829753,0.9436269168597556,0.0675353765539829,3.3558450734264627,74.0,ok,
FAPI-TEMPO,538,32.97481829646276,0.9722192216224186,0.0415962743485267,3.153921852274655,75.0,ok,
FAPI-TEMPO,687,33.117093534908435,0.9797359609163696,0.0359011704489738,3.2007639767139087,66.0,ok,
FAPI-TEMPO,610,33.42777104155173,0.959333015301028,0.0541163158755789,3.171016095217321,72.0,ok,
FAPI-TEMPO,556,33.45689541184286,0.674503064143518,0.1280492248993563,2.988920483177965,75.0,qc_fail,
FAPI-TEMPO,11,34.60364128490878,0.9779611931318964,0.0404554447141871,1.040352941576128,117.0,qc_fail,
FAPI-TEMPO,683,35.083356136605964,0.8903956542638731,0.0783997590277473,3.078382797229392,68.0,ok,
FAPI-TEMPO,616,35.546970094092366,0.9880484688546056,0.0328070257963755,1.237798886474222,72.0,qc_fail,
FAPI-TEMPO,829,35.90001838229393,0.7705654034687146,0.1170835792392605,0.7242336124491605,19.0,qc_fail,
FAPI-TEMPO,561,35.9326247302313,0.8365078813457183,0.0818436616564488,3.1169445828367417,75.0,ok,
FAPI-TEMPO,585,36.14378794586661,0.9771540562125768,0.0445820469528179,2.711392622897657,73.0,ok,
FAPI-TEMPO,801,36.4805286621404,0.8181288166063372,0.0741223605047599,1.535065473382708,49.0,ok,
FAPI-TEMPO,633,37.04379301326104,0.9099077112426696,0.0729176017390009,1.403743941161341,71.0,ok,
FAPI-TEMPO,599,37.243249977706135,0.9233721991091044,0.0689979350646259,2.68505031273748,73.0,ok,
FAPI-TEMPO,840,37.2705604985906,0.9894719253179094,0.0026972215197485,0.8585864975443579,18.0,qc_fail,
FAPI-TEMPO,602,38.2903537921421,0.656722940790176,0.2107195371763447,2.977251153615481,73.0,qc_fail,
FAPI-TEMPO,9,38.368233783916864,0.9925416068722892,0.0252087000775828,1.2510349126396474,28.0,ok,
FAPI-TEMPO,741,39.17473528500466,0.9123056225679654,0.0768332505542993,0.8679063113673304,25.0,qc_fail,
FAPI-TEMPO,723,39.4742233301816,0.8930254716058477,0.0655877689103657,2.0266389874435555,62.0,ok,
FAPI-TEMPO,774,39.90985517775528,0.9220603702121358,0.0810668334841631,1.002258710833282,29.0,qc_fail,
FAPI-TEMPO,686,40.43877531039521,0.7021858442241541,0.1281482392940199,1.829926832155511,41.0,ok,
FAPI-TEMPO,648,40.69874132867619,0.7670529731975159,0.1182821195383452,2.6045031502070746,70.0,ok,
FAPI-TEMPO,737,41.32155347956972,0.9318416360626288,0.0846199272677149,1.161621380564316,62.0,qc_fail,
FAPI-TEMPO,755,42.62663049555982,0.6043446516139412,0.2270291116589245,1.0791376063559976,59.0,qc_fail,
FAPI-TEMPO,537,42.710508002287,0.9706003680449492,0.0408617771728241,2.8564399185668155,75.0,ok,
FAPI-TEMPO,662,43.56148498320956,0.9242537806852896,0.0862946720282791,1.1937150448393343,70.0,qc_fail,
