pair_id,metric,delta
293,"Full entropy (raw_reconstructed, mask)",-0.032048641794679256
294,"Full entropy (raw_reconstructed, mask)",-0.080246288567003
295,"Full entropy (raw_reconstructed, mask)",-0.12412958626359138
296,"Full entropy (raw_reconstructed, mask)",-0.13522364101210993
297,"Full entropy (raw_reconstructed, mask)",-0.04381074980277422
298,"Full entropy (raw_reconstructed, mask)",-0.055795812324388905
299,"Full entropy (raw_reconstructed, mask)",-0.1631779196552845
300,"Full entropy (raw_reconstructed, mask)",-0.21322427802028798
301,"Full entropy (raw_reconstructed, mask)",-0.21582707182483052
302,"Full entropy (raw_reconstructed, mask)",-0.08132463408713164
303,"Full entropy (raw_reconstructed, mask)",-0.009074688694168387
304,"Full entropy (raw_reconstructed, mask)",-0.20078500019063572
305,"Full entropy (raw_reconstructed, mask)",0.02707098970210353
306,"Full entropy (raw_reconstructed, mask)",-0.03259814362958302
307,"Full entropy (raw_reconstructed, mask)",-0.004238051561277878
308,"Full entropy (raw_reconstructed, mask)",0.027776310415805305
309,"Full entropy (raw_reconstructed, mask)",0.0965118391952311
310,"Full entropy (raw_reconstructed, mask)",0.22247718004438077
311,"Full entropy (raw_reconstructed, mask)",0.031049251828553892
312,"Full entropy (raw_reconstructed, mask)",-0.14290186767110669
313,"Full entropy (raw_reconstructed, mask)",0.16698898491063652
314,"Full entropy (raw_reconstructed, mask)",0.034175661445545735
315,"Full entropy (raw_reconstructed, mask)",-0.20518102563608842
316,"Full entropy (raw_reconstructed, mask)",-0.01190961556786263
317,"Full entropy (raw_reconstructed, mask)",0.125313520261356
318,"Full entropy (raw_reconstructed, mask)",-0.012548642957368905
319,"Full entropy (raw_reconstructed, mask)",-0.017133138012785487
320,"Full entropy (raw_reconstructed, mask)",-0.03275342632461786
321,"Full entropy (raw_reconstructed, mask)",-0.11586751342389157
322,"Full entropy (raw_reconstructed, mask)",0.010386845340002893
323,"Full entropy (raw_reconstructed, mask)",0.03975198602332508
324,"Full entropy (raw_reconstructed, mask)",0.18215164214628743
325,"Full entropy (raw_reconstructed, mask)",0.0657265347797722
326,"Full entropy (raw_reconstructed, mask)",0.045385747175089364
327,"Full entropy (raw_reconstructed, mask)",-0.03288998229506479
328,"Full entropy (raw_reconstructed, mask)",0.16078013407019043
329,"Full entropy (raw_reconstructed, mask)",0.09904331279124534
330,"Full entropy (raw_reconstructed, mask)",0.11713512305178231
331,"Full entropy (raw_reconstructed, mask)",0.2085107072570871
332,"Full entropy (raw_reconstructed, mask)",0.033667563226893904
333,"Full entropy (raw_reconstructed, mask)",0.04465349865332158
334,"Full entropy (raw_reconstructed, mask)",0.042062505480225276
335,"Full entropy (raw_reconstructed, mask)",-0.05195450871090124
336,"Full entropy (raw_reconstructed, mask)",0.07335369990230678
337,"Full entropy (raw_reconstructed, mask)",0.01223645466152945
338,"Full entropy (raw_reconstructed, mask)",-0.2458571617077947
339,"Full entropy (raw_reconstructed, mask)",-0.28494962537689794
340,"Full entropy (raw_reconstructed, mask)",0.18098523734435812
341,"Full entropy (raw_reconstructed, mask)",0.27168064972065853
344,"Full entropy (raw_reconstructed, mask)",0.12452895337392533
345,"Full entropy (raw_reconstructed, mask)",0.16440657087085864
346,"Full entropy (raw_reconstructed, mask)",0.29316309761811254
347,"Full entropy (raw_reconstructed, mask)",0.016201701274874303
348,"Full entropy (raw_reconstructed, mask)",-0.043118348970851095
