group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01,full_entropy_raw_reconstructed_mask
FAPI,FAPI_377,377,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_377.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_377_heatmap.png,heatmaps_norm01\FAPI\FAPI_377_heatmap_norm01.png,17.0,221.0,226,1.6655436282674172,0.4805743065771227,2.223054761471219,0.641438015999825,2.225009965780229,0.6420021687119318,5.667613554087854
FAPI,FAPI_378,378,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_378.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_378_heatmap.png,heatmaps_norm01\FAPI\FAPI_378_heatmap_norm01.png,17.0,221.0,245,1.7389796963300383,0.5017634768203884,2.237336582441473,0.6455588784575549,2.136614169773717,0.6164965334051263,5.685598665641451
FAPI,FAPI_379,379,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_379.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_379_heatmap.png,heatmaps_norm01\FAPI\FAPI_379_heatmap_norm01.png,18.0,221.0,227,1.6655534053977787,0.4805771276606201,2.2497108503413306,0.6491293374443061,2.200827649034549,0.6350246270226921,5.595752710420178
FAPI,FAPI_38,38,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_38.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_38_heatmap.png,heatmaps_norm01\FAPI\FAPI_38_heatmap_norm01.png,17.0,221.0,126,2.0512270460897977,0.5918590174262136,2.2916200437391656,0.6612217745408487,2.231166184202329,0.6437784778695703,5.721277951859874
FAPI,FAPI_380,380,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_380.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_380_heatmap.png,heatmaps_norm01\FAPI\FAPI_380_heatmap_norm01.png,16.0,221.0,227,1.7794545892090332,0.513442062267796,2.2683443868360658,0.6545058395833417,2.062069541300165,0.5949875002403855,5.637363380692985
FAPI,FAPI_381,381,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_381.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_381_heatmap.png,heatmaps_norm01\FAPI\FAPI_381_heatmap_norm01.png,16.0,221.0,244,1.7895968846153465,0.5163685101249798,2.271159159850148,0.6553180113970707,2.132495064126373,0.6153080107470621,5.663055202515602
FAPI,FAPI_386,386,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_386.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_386_heatmap.png,heatmaps_norm01\FAPI\FAPI_386_heatmap_norm01.png,17.0,221.0,263,1.717194416878958,0.4954775738946976,2.264733319216968,0.6534639057140643,2.339697201630817,0.675093909994913,5.642743430039156
FAPI,FAPI_387,387,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_387.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_387_heatmap.png,heatmaps_norm01\FAPI\FAPI_387_heatmap_norm01.png,17.0,221.0,353,1.6549016948212123,0.4775036936554608,2.1956488340962785,0.6335303368968671,2.091329514735744,0.6034301439547961,5.65046179899148
FAPI,FAPI_388,388,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_388.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_388_heatmap.png,heatmaps_norm01\FAPI\FAPI_388_heatmap_norm01.png,17.0,221.0,327,1.603395622024093,0.4626421824954467,2.007960555025918,0.5793749470073084,2.048882827901344,0.591182619035165,5.625239964156215
FAPI,FAPI_389,389,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_389.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_389_heatmap.png,heatmaps_norm01\FAPI\FAPI_389_heatmap_norm01.png,17.0,221.0,240,1.7033753537843714,0.4914902351354392,2.191996359377794,0.6324764554642011,2.1181312811337296,0.6111634990486836,5.666059176404147
FAPI,FAPI_39,39,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_39.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_39_heatmap.png,heatmaps_norm01\FAPI\FAPI_39_heatmap_norm01.png,17.0,221.0,163,1.3020613918729729,0.3756955025976238,1.9163357380081387,0.5529376131805267,2.019814992492946,0.5827954146365504,5.689485201420287
FAPI,FAPI_390,390,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_390.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_390_heatmap.png,heatmaps_norm01\FAPI\FAPI_390_heatmap_norm01.png,16.0,221.0,251,1.5577337316611182,0.4494669459385909,2.0607027424302427,0.5945931254500796,1.819028074512106,0.524860556467283,5.671487955577223
FAPI,FAPI_391,391,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_391.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI\FAPI_391_heatmap.png,heatmaps_norm01\FAPI\FAPI_391_heatmap_norm01.png,17.0,221.0,255,1.644613156968871,0.4745350491479464,2.0837256396390305,0.6012361293760825,1.991598784275747,0.5746539379030218,5.501013441416937
