label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI,FAPI_0.json,35,28717.0,829.0,0.5250974038693157,1419.0486123202284,545.9292405195529,1419.0486123202284,545.9292405195529,95.34773435475672,43.337121435343526,0.8148746339805153,0.1860244463175335,FAPI_0_35,5933.2645,35.0126,327.2146,12.1957,0.303633,0.052071,0,0.0,0.0,5.194606,0.008354,0.323347,0.040418
FAPI,FAPI_0.json,36,25173.0,768.0,0.5363180329645173,1696.077622849879,749.1094426568148,1696.077622849879,749.1094426568148,88.91122636150638,40.41162215200232,0.6606766845525093,0.194654882684427,FAPI_0_36,5201.0331,32.781,295.5713,11.591,0.251874,0.058865,0,0.0,0.0,5.315335,0.008932,0.504216,0.063027
FAPI,FAPI_0.json,37,21792.0,714.0,0.5371684917655594,665.8585260646108,442.7488069016153,665.8585260646108,442.7488069016153,82.72955453402352,37.6019501186395,0.6721824737796483,0.184821630481994,FAPI_0_37,4502.4793,30.5002,273.6885,11.1536,0.24465,0.061778,1,67.7686,0.0,5.182455,0.009582,0.63351,0.079189
FAPI,FAPI_0.json,38,5041.0,304.0,0.6854557032005777,1698.6413410037692,902.977782186074,1698.6413410037692,902.977782186074,39.81931394141402,18.09853643014264,0.3253742959558508,0.0899762680852415,FAPI_0_38,1041.5289,14.6694,123.0046,7.4774,0.134956,0.105874,0,0.0,0.0,5.320958,0.019962,0.651952,0.081494
FAPI,FAPI_0.json,39,19116.0,734.0,0.4458766875247606,837.7162063193136,181.92038083281025,837.7162063193136,181.92038083281025,76.52861748319441,34.78352172279691,0.925926215121084,0.2733432591518532,FAPI_0_39,3949.5868,28.5662,274.7915,11.1761,0.342713,0.053676,0,0.0,0.0,5.488055,0.010298,0.51679,0.064599
FAPI,FAPI_0.json,40,27764.0,902.0,0.4288237443978496,916.6359314219852,340.672021322576,916.6359314219852,340.672021322576,93.68384931446776,42.58085817923757,0.8752817085336032,0.2225208906042606,FAPI_0_40,5736.3636,34.4267,346.3623,12.5474,0.399123,0.043684,5,138.0165,14.8391,5.589027,0.008548,0.240889,0.030111
FAPI,FAPI_0.json,41,33042.0,927.0,0.4831886481657849,481.6527752557352,224.5767205374977,481.6527752557352,224.5767205374977,100.94641856080337,45.88181595753149,1.0209659198733765,0.2798522618735756,FAPI_0_41,6826.8595,37.5567,365.6359,12.8918,0.358298,0.045388,2,122.5207,1.6071,5.507308,0.007819,0.398843,0.049855
FAPI,FAPI_0.json,42,30693.0,934.0,0.4421355653729969,1682.859414198677,284.0467533313785,1682.859414198677,284.0467533313785,97.212111458054,44.18451164837419,0.9749082743789188,0.2573822631839867,FAPI_0_42,6341.5289,36.1971,350.2571,12.6178,0.350424,0.046948,0,0.0,0.0,5.420238,0.008108,0.785877,0.098235
FAPI,FAPI_0.json,43,5362.0,405.0,0.4107963983185117,900.4682954121596,242.5958597538232,900.4682954121596,242.5958597538232,40.03642426505011,18.19721666123524,1.1787404367445358,0.3075352598034763,FAPI_0_43,1107.8512,15.1293,151.2621,8.2919,0.391542,0.067225,0,0.0,0.0,5.572559,0.019461,0.579168,0.072396
FAPI,FAPI_0.json,44,22906.0,923.0,0.3378747352097548,779.980310835589,454.59993014930586,779.980310835589,454.59993014930586,80.5402030209887,36.60685366430713,1.6785971004305875,0.4610277557882522,FAPI_0_44,4732.6446,31.2701,352.9008,12.6653,0.522461,0.034422,1,62.6033,0.0,5.462112,0.009393,0.51422,0.064277
FAPI,FAPI_0.json,45,5222.0,340.0,0.5676607902092007,1832.6618153964,817.5729605515128,1832.6618153964,817.5729605515128,40.31966414713318,18.325953869814278,0.6227521071656782,0.1514852271940728,FAPI_0_45,1078.9256,14.9305,128.7176,7.6491,0.181676,0.097915,0,0.0,0.0,5.528497,0.019721,0.641064,0.080133
FAPI,FAPI_0.json,46,3976.0,318.0,0.4940853760006731,1188.4841549295777,80.25704225352112,1188.4841549295777,80.25704225352112,34.74239680718131,15.790993667303583,0.9864392978251424,0.2412041566256041,FAPI_0_46,821.4876,13.028,118.7176,7.3459,0.267545,0.091386,2,45.8678,1.461,5.734105,0.022623,0.506859,0.063357
FAPI,FAPI_0.json,47,3232.0,286.0,0.4965341804685907,731.6225247524752,312.68007425742576,731.6225247524752,312.68007425742576,31.21074587411642,14.185799937329632,0.739729523931554,0.2310646812024603,FAPI_0_47,667.7686,11.746,104.1721,6.8812,0.226727,0.10306,0,0.0,0.0,5.392613,0.025,0.638173,0.079772
FAPI,FAPI_0.json,48,6132.0,396.0,0.4913847095146569,1239.008806262231,143.45743639921722,1239.008806262231,143.45743639921722,43.6294002537914,19.830283642764275,0.7153365295390584,0.1946423649718457,FAPI_0_48,1266.9421,16.1792,143.5215,8.0769,0.227083,0.087553,1,36.5702,0.0,5.635729,0.018205,0.415308,0.051914
FAPI,FAPI_0.json,49,4935.0,384.0,0.4205663993453133,595.3673758865248,907.895238095238,595.3673758865248,907.895238095238,37.58878135020336,17.08472249502457,1.1830655393128495,0.3732563263552731,FAPI_0_49,1019.6281,14.5144,142.8597,8.0583,0.372185,0.071388,0,0.0,0.0,5.459997,0.020228,0.721758,0.09022
FAPI,FAPI_0.json,50,16736.0,624.0,0.540122602836115,354.2081739961759,156.48703393881453,354.2081739961759,156.48703393881453,72.28333634351048,32.853971267060494,0.8308869888908184,0.2134418370903358,FAPI_0_50,3457.8512,26.7289,243.9626,10.5305,0.269922,0.063279,0,0.0,0.0,4.896472,0.01086,0.720263,0.090033
FAPI,FAPI_0.json,51,10231.0,508.0,0.4981963301952565,1440.933242107321,686.5727690352849,1440.933242107321,686.5727690352849,56.65327897968618,25.749851818378,0.6628750987495823,0.176434903045465,FAPI_0_51,2113.843,20.8984,188.839,9.2648,0.255098,0.073462,0,0.0,0.0,5.375439,0.014045,0.886045,0.110756
FAPI,FAPI_0.json,52,5157.0,338.0,0.5672488118260062,1238.1233275159975,263.87473337211554,1238.1233275159975,263.87473337211554,40.39530303725564,18.36033299574374,0.3713714464733098,0.0992063476867448,FAPI_0_52,1065.4959,14.8372,129.1398,7.6616,0.197138,0.095918,3,59.5041,5.5593,5.803823,0.019883,0.452898,0.056612
FAPI,FAPI_0.json,53,13594.0,614.0,0.4531274658924725,552.0537001618361,524.9252611446226,552.0537001618361,524.9252611446226,65.7445181532209,29.881970307898992,0.7668934513201797,0.1827918601172409,FAPI_0_53,2808.6777,24.0895,235.4232,10.3446,0.363185,0.05623,0,0.0,0.0,5.699865,0.012237,0.942543,0.117818
