t_ms,X_area_frac,X_JMAK,k_fit,n_fit
352.0,0.2458129164364325,0.24672582157915557,0.00192721463763989,3.25
353.0,0.2472078708213819,0.24870005234614023,0.00192721463763989,3.25
354.0,0.24860967518469815,0.2506816830247677,0.00192721463763989,3.25
355.0,0.2500214584610688,0.2526706721024379,0.00192721463763989,3.25
356.0,0.25144502722174183,0.2546669774828808,0.00192721463763989,3.25
357.0,0.2528746073060701,0.2566705564875271,0.00192721463763989,3.25
358.0,0.2543164561841642,0.2586813658569488,0.00192721463763989,3.25
359.0,0.25576793751369603,0.26069936175236785,0.00192721463763989,3.25
360.0,0.2572299053210535,0.2627244997572352,0.00192721463763989,3.25
361.0,0.25880567763450424,0.2647567348788784,0.00192721463763989,3.25
362.0,0.2601773697819871,0.26679602155021886,0.00192721463763989,3.25
363.0,0.2616584334037789,0.26884231363155986,0.00192721463763989,3.25
364.0,0.26314227610489466,0.27089556441244356,0.00192721463763989,3.25
365.0,0.26463353953272784,0.2729557266135789,0.00192721463763989,3.25
366.0,0.2661355902840545,0.2750227523888392,0.00192721463763989,3.25
367.0,0.2676605751773898,0.27709659332733116,0.00192721463763989,3.25
368.0,0.2691577497135329,0.2791772004555335,0.00192721463763989,3.25
369.0,0.27070880363925703,0.281264524239507,0.00192721463763989,3.25
370.0,0.272210190946366,0.28335851458717465,0.00192721463763989,3.25
371.0,0.2737536445096994,0.2854591208506747,0.00192721463763989,3.25
372.0,0.27530384863458296,0.2875662918287816,0.00192721463763989,3.25
373.0,0.27686056985120366,0.28967997576940074,0.00192721463763989,3.25
374.0,0.27842208583308575,0.29180012037213343,0.00192721463763989,3.25
375.0,0.2798956249194361,0.2939266727909128,0.00192721463763989,3.25
376.0,0.28169728381878123,0.2960595796367115,0.00192721463763989,3.25
377.0,0.2831559075877971,0.2981987869803202,0.00192721463763989,3.25
378.0,0.2847473498281538,0.30034424035519836,0.00192721463763989,3.25
379.0,0.28634670029696685,0.3024958847603947,0.00192721463763989,3.25
380.0,0.2879501627890482,0.30465366466354105,0.00192721463763989,3.25
381.0,0.2895581403617325,0.3068175240039158,0.00192721463763989,3.25
382.0,0.2911749193171647,0.3089874061955792,0.00192721463763989,3.25
383.0,0.2928038783298672,0.3111632541305802,0.00192721463763989,3.25
384.0,0.29443997798536387,0.3133450101822345,0.00192721463763989,3.25
385.0,0.29608225475902633,0.31553261620847284,0.00192721463763989,3.25
386.0,0.2977333884131778,0.3177260135552613,0.00192721463763989,3.25
