file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_36_0,5948.1405,35.0564,309.4961,11.8609,0.219666,0.059986,2,37.1901,1.7532,5.447615,0.008367,0.142924,0.017865
FAPI_36_1,6653.9256,37.078,322.9387,12.1157,0.198234,0.060325,0,0.0,0.0,5.447081,0.007911,0.29451,0.036814
FAPI_36_2,2446.281,22.4818,209.9497,9.7689,0.302594,0.065216,0,0.0,0.0,5.44671,0.013042,0.516851,0.064606
FAPI_36_3,1425.6198,17.1624,151.5552,8.2999,0.22004,0.085943,2,46.6942,2.9219,5.575761,0.017117,0.258058,0.032257
FAPI_36_4,2373.9669,22.147,191.9428,9.3406,0.190269,0.07917,2,44.8347,2.7758,5.635341,0.013293,0.163679,0.02046
FAPI_36_5,941.5289,13.9474,128.2497,7.6351,0.280665,0.086309,0,0.0,0.0,5.48992,0.02105,0.254608,0.031826
FAPI_36_6,8027.686,40.7261,371.4514,12.9939,0.268867,0.051286,0,0.0,0.0,5.536778,0.007213,0.267234,0.033404
FAPI_36_7,10315.0826,46.1651,406.9405,13.6005,0.217254,0.052438,17,878.0992,41.8525,5.530062,0.006374,0.199306,0.024913
FAPI_36_8,10149.5868,45.7933,404.27,13.5558,0.219604,0.052454,15,1307.2314,137.1428,5.506825,0.006415,0.154515,0.019314
FAPI_36_9,4785.9504,31.4457,281.6876,11.3155,0.242047,0.061098,5,472.1074,120.1151,5.527912,0.009339,0.328979,0.041122
FAPI_36_10,5222.9339,32.8499,278.5192,11.2517,0.153915,0.068567,5,220.6612,39.2833,5.506152,0.008945,0.186643,0.02333
FAPI_36_11,4450.6198,30.3241,266.9483,11.0155,0.215169,0.064991,2,43.8017,4.0907,5.480146,0.009672,0.24522,0.030652
FAPI_36_12,2361.3636,22.0881,203.9437,9.6282,0.286569,0.067692,1,28.719,0.0,5.679228,0.013339,0.288137,0.036017
FAPI_36_13,3779.5455,27.9445,269.7591,11.0733,0.347325,0.0538,0,0.0,0.0,5.432374,0.010494,0.417366,0.052171
FAPI_36_14,4636.9835,30.9525,318.5681,12.0334,0.42583,0.043546,0,0.0,0.0,5.498727,0.00949,0.20794,0.025992
FAPI_36_15,1227.0661,15.9225,139.1131,7.9519,0.203214,0.091676,0,0.0,0.0,5.463121,0.018437,0.327916,0.04099
FAPI_36_16,1201.8595,15.7581,139.581,7.9653,0.224805,0.089056,0,0.0,0.0,5.482135,0.018624,0.280536,0.035067
FAPI_36_17,2254.1322,21.5808,196.8648,9.4596,0.269108,0.070588,0,0.0,0.0,5.246963,0.013571,0.353849,0.044231
FAPI_36_18,3104.1322,25.3249,226.7656,10.1526,0.24143,0.068206,8,469.0083,27.2214,5.539187,0.011619,0.22398,0.027998
FAPI_36_19,8599.3802,42.1513,377.8607,13.1055,0.243143,0.052632,1,23.7603,0.0,5.568631,0.006985,0.179805,0.022476
FAPI_36_20,4980.9917,32.0801,298.7398,11.6529,0.298642,0.054902,0,0.0,0.0,5.306949,0.009141,0.19225,0.024031
FAPI_36_21,1231.6116,15.952,133.7956,7.7985,0.13543,0.101406,0,0.0,0.0,5.64478,0.018418,0.153349,0.019169
FAPI_36_22,5169.0083,32.6799,288.8311,11.458,0.221374,0.061973,0,0.0,0.0,5.521979,0.009001,0.453528,0.056691
FAPI_36_23,2010.7438,20.3824,181.0494,9.0717,0.229145,0.077643,3,194.4215,35.4363,5.621413,0.014411,0.217218,0.027152
FAPI_36_24,6116.5289,35.5492,321.8547,12.0954,0.258015,0.055934,0,0.0,0.0,5.400148,0.008261,0.459552,0.057444
FAPI_36_25,7406.6116,39.1189,359.3101,12.7798,0.279074,0.051424,0,0.0,0.0,5.325611,0.007492,0.123482,0.015435
FAPI_36_26,434.9174,9.4794,80.2963,6.0414,0.152332,0.128886,0,0.0,0.0,4.974259,0.030706,0.196663,0.024583
FAPI_36_27,4232.2314,29.5707,290.5958,11.493,0.370203,0.050011,0,0.0,0.0,5.363708,0.009928,0.4107,0.051337
FAPI_36_28,575.6198,10.9055,90.1403,6.401,0.109759,0.127555,0,0.0,0.0,5.647657,0.026973,0.427736,0.053467
FAPI_36_29,2106.1983,20.8606,187.276,9.2263,0.245351,0.074732,3,288.2231,50.0013,5.341577,0.014029,0.286427,0.035803
FAPI_36_30,1007.6446,14.4288,123.5561,7.4941,0.170552,0.101317,1,47.5207,0.0,5.650794,0.02038,0.489236,0.061155
FAPI_36_31,2900.0,24.478,224.815,10.1088,0.278963,0.065128,3,379.5455,108.5142,5.520604,0.01199,0.187837,0.02348
FAPI_36_32,1061.157,14.807,139.4629,7.9619,0.314398,0.078864,0,0.0,0.0,5.23909,0.019758,0.472589,0.059074
FAPI_36_33,1523.7603,17.7434,148.976,8.229,0.137233,0.095841,3,205.7851,68.2141,5.625865,0.016604,0.556161,0.06952
FAPI_36_34,3400.6198,26.5067,264.9285,10.9737,0.39115,0.050662,0,0.0,0.0,5.410791,0.011063,1.013744,0.126718
FAPI_36_35,902.0661,13.652,118.7176,7.3459,0.1957,0.100277,0,0.0,0.0,5.567128,0.021525,0.410131,0.051266
FAPI_36_36,633.2645,11.4385,102.9322,6.8401,0.248909,0.100742,0,0.0,0.0,4.995424,0.025403,0.376604,0.047075
FAPI_36_37,5457.2314,33.5787,302.1666,11.7196,0.248915,0.058445,0,0.0,0.0,5.198746,0.008714,0.186008,0.023251
FAPI_36_38,1735.7438,18.9374,165.3664,8.6699,0.202371,0.084088,0,0.0,0.0,5.528057,0.015514,0.523867,0.065483
FAPI_36_39,1691.9421,18.6969,185.6249,9.1856,0.382946,0.061449,0,0.0,0.0,5.275815,0.01566,0.413519,0.05169
FAPI_36_40,1583.8843,18.09,167.8653,8.7351,0.293664,0.073952,0,0.0,0.0,5.335404,0.016178,0.468325,0.058541
FAPI_36_41,1244.8347,16.0374,136.2755,7.8704,0.157663,0.097899,1,16.7355,0.0,5.338868,0.018275,0.743436,0.09293
FAPI_36_42,2348.7603,22.0291,224.9553,10.112,0.416748,0.05272,0,0.0,0.0,5.155123,0.013268,0.386337,0.048292
FAPI_36_43,566.3223,10.8171,96.641,6.6278,0.238007,0.105526,0,0.0,0.0,5.207468,0.027082,0.328336,0.041042
FAPI_36_44,3244.4215,25.8908,258.6752,10.8434,0.390691,0.051314,0,0.0,0.0,5.377881,0.011324,0.290208,0.036276
FAPI_36_45,1559.2975,17.9491,165.1002,8.6629,0.281141,0.07589,0,0.0,0.0,5.525554,0.016369,0.236686,0.029586
FAPI_36_46,1333.2645,16.5972,153.0882,8.3418,0.285104,0.078416,2,249.7934,143.905,5.465857,0.017719,0.319415,0.039927
FAPI_36_47,3928.5124,28.4899,253.9202,10.7433,0.234327,0.065028,5,345.8678,64.4173,5.558017,0.010323,0.567604,0.070951
FAPI_36_48,2470.0413,22.5907,198.1851,9.4913,0.209736,0.076037,0,0.0,0.0,5.367338,0.012996,0.595961,0.074495
FAPI_36_49,1361.3636,16.7712,189.288,9.2758,0.522539,0.047163,4,185.9504,30.8781,5.673818,0.017544,0.2852,0.03565
FAPI_36_50,1512.1901,17.6759,161.2432,8.5611,0.269108,0.078081,0,0.0,0.0,5.35442,0.016582,0.242307,0.030288
