file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_TEMPO_15_74,364.2562,8.6752,78.3489,5.9677,0.254322,0.114973,0,0.0,0.0,5.175454,0.033667,0.25076,0.031345
FAPI_TEMPO_15_75,1082.438,14.9547,126.8805,7.5943,0.155065,0.101816,0,0.0,0.0,5.456507,0.019623,0.651099,0.081387
FAPI_TEMPO_15_76,1114.876,15.1772,137.4776,7.9051,0.258737,0.085841,0,0.0,0.0,5.690412,0.019402,0.409098,0.051137
FAPI_TEMPO_15_77,398.7603,9.0768,77.2571,5.9259,0.160452,0.130204,0,0.0,0.0,5.136311,0.032131,0.308745,0.038593
FAPI_TEMPO_15_78,509.7107,10.2622,83.9594,6.1777,0.091353,0.13496,0,0.0,0.0,5.693215,0.028651,0.291804,0.036476
FAPI_TEMPO_15_79,672.1074,11.7841,104.336,6.8866,0.224145,0.103319,0,0.0,0.0,5.410059,0.024859,0.955251,0.119406
FAPI_TEMPO_15_80,836.9835,13.1503,115.8154,7.2556,0.215859,0.099019,0,0.0,0.0,5.554213,0.022329,0.198499,0.024812
FAPI_TEMPO_15_81,333.0579,8.2954,73.5561,5.7823,0.226443,0.123136,0,0.0,0.0,5.491826,0.0354,0.44573,0.055716
FAPI_TEMPO_15_82,647.314,11.5647,101.8214,6.8031,0.215403,0.105777,0,0.0,0.0,5.742089,0.025465,0.621117,0.07764
FAPI_TEMPO_15_83,604.7521,11.178,99.0563,6.7101,0.225497,0.105902,0,0.0,0.0,5.258126,0.026147,0.37657,0.047071
FAPI_TEMPO_15_84,456.405,9.7107,87.569,6.309,0.252073,0.10894,0,0.0,0.0,5.301249,0.030147,0.364216,0.045527
FAPI_TEMPO_15_85,3215.7025,25.776,234.4149,10.3224,0.264614,0.065033,0,0.0,0.0,5.54365,0.011404,0.332267,0.041533
FAPI_TEMPO_15_86,3823.3471,28.106,255.2215,10.7708,0.262403,0.062491,0,0.0,0.0,5.543565,0.010454,0.259754,0.032469
FAPI_TEMPO_15_87,374.7934,8.7998,76.8616,5.9108,0.202771,0.124037,0,0.0,0.0,4.943825,0.032977,0.344803,0.0431
FAPI_TEMPO_15_88,449.7934,9.6402,84.4273,6.1948,0.20703,0.117603,0,0.0,0.0,5.46427,0.030477,0.411235,0.051404
FAPI_TEMPO_15_89,1306.8182,16.4318,149.5353,8.2444,0.265592,0.081506,2,79.9587,26.7356,5.772258,0.017936,0.368831,0.046104
FAPI_TEMPO_15_90,646.0744,11.5536,105.0166,6.909,0.263833,0.097755,0,0.0,0.0,5.392225,0.025373,0.481863,0.060233
FAPI_TEMPO_15_91,530.9917,10.4742,88.1929,6.3315,0.142112,0.124335,0,0.0,0.0,5.400162,0.027956,0.421882,0.052735
FAPI_TEMPO_15_92,700.2066,12.0279,114.7504,7.2221,0.331767,0.084894,0,0.0,0.0,5.498374,0.024436,0.42353,0.052941
FAPI_TEMPO_15_93,306.8182,7.9619,76.778,5.9075,0.345941,0.102072,0,0.0,0.0,5.359635,0.036788,0.384672,0.048084
FAPI_TEMPO_15_94,1495.8678,17.5802,158.8279,8.4967,0.25484,0.080206,0,0.0,0.0,5.578753,0.016714,0.273125,0.034141
FAPI_TEMPO_15_95,754.5455,12.4859,115.0623,7.2319,0.283809,0.090805,0,0.0,0.0,5.636158,0.023555,0.571346,0.071418
FAPI_TEMPO_15_96,2894.4215,24.4545,239.2723,10.4288,0.364688,0.05564,0,0.0,0.0,5.466793,0.012009,0.279894,0.034987
FAPI_TEMPO_15_97,345.8678,8.4534,78.174,5.961,0.288794,0.109847,0,0.0,0.0,5.221165,0.034594,0.311773,0.038972
FAPI_TEMPO_15_98,403.0992,9.1261,80.8745,6.0631,0.225541,0.117437,0,0.0,0.0,5.421945,0.032107,0.39947,0.049934
FAPI_TEMPO_15_99,702.2727,12.0456,107.0554,6.9758,0.229986,0.101214,0,0.0,0.0,5.650895,0.024414,0.632662,0.079083
FAPI_TEMPO_15_100,1848.9669,19.5453,176.8459,8.9657,0.257068,0.075739,0,0.0,0.0,5.658274,0.015061,0.310353,0.038794
FAPI_TEMPO_15_101,502.0661,10.1849,88.946,6.3585,0.202524,0.11516,0,0.0,0.0,5.699091,0.028913,0.7246,0.090575
FAPI_TEMPO_15_102,1014.876,14.4805,123.3923,7.4892,0.16238,0.102377,0,0.0,0.0,5.812519,0.020371,0.745905,0.093238
FAPI_TEMPO_15_103,1292.562,16.3419,178.6908,9.0124,0.491306,0.051714,0,0.0,0.0,5.697774,0.018024,0.479923,0.05999
FAPI_TEMPO_15_104,1162.1901,15.4959,140.802,8.0001,0.263337,0.084285,0,0.0,0.0,5.750105,0.019021,0.717411,0.089676
FAPI_TEMPO_15_105,1111.157,15.1518,150.06,8.2589,0.379909,0.068778,0,0.0,0.0,5.5225,0.019385,0.420631,0.052579
FAPI_TEMPO_15_106,375.4132,8.8071,76.5039,5.897,0.193969,0.12569,0,0.0,0.0,5.483333,0.033256,0.368616,0.046077
FAPI_TEMPO_15_107,1179.7521,15.6125,134.1075,7.8076,0.175683,0.096599,0,0.0,0.0,5.642098,0.018846,0.518202,0.064775
FAPI_TEMPO_15_108,876.0331,13.4536,137.0743,7.8934,0.414107,0.068075,0,0.0,0.0,5.642832,0.021865,0.796464,0.099558
FAPI_TEMPO_15_109,858.4711,13.318,118.5695,7.3413,0.232656,0.095764,0,0.0,0.0,5.573216,0.022077,0.566404,0.070801
FAPI_TEMPO_15_110,472.314,9.8785,88.0558,6.3266,0.234537,0.111152,0,0.0,0.0,5.582691,0.029682,0.331386,0.041423
FAPI_TEMPO_15_111,419.2149,9.3067,78.6798,5.9803,0.149018,0.130735,0,0.0,0.0,5.216616,0.031431,0.410429,0.051304
FAPI_TEMPO_15_112,425.8264,9.3798,89.4786,6.3775,0.331649,0.096402,0,0.0,0.0,5.59979,0.031334,0.524497,0.065562
FAPI_TEMPO_15_113,449.7934,9.6402,84.5298,6.1986,0.208951,0.117248,0,0.0,0.0,5.628253,0.030483,0.331454,0.041432
FAPI_TEMPO_15_114,432.438,9.4523,87.2381,6.2971,0.285962,0.104258,0,0.0,0.0,5.574788,0.031051,0.384741,0.048093
FAPI_TEMPO_15_115,447.7273,9.618,84.4462,6.1955,0.211026,0.117003,0,0.0,0.0,5.48242,0.030492,0.375462,0.046933
FAPI_TEMPO_15_116,2346.0744,22.0165,203.0268,9.6065,0.284771,0.068016,0,0.0,0.0,5.340486,0.0133,0.713766,0.089221
FAPI_TEMPO_15_117,736.9835,12.3397,116.9908,7.2923,0.32335,0.085112,0,0.0,0.0,5.636887,0.023845,0.297285,0.037161
FAPI_TEMPO_15_118,1290.9091,16.3315,152.9968,8.3393,0.306988,0.076054,0,0.0,0.0,5.598243,0.017983,0.367507,0.045938
FAPI_TEMPO_15_119,1358.6777,16.7547,154.2557,8.3735,0.282463,0.078402,0,0.0,0.0,5.607647,0.017543,0.245526,0.030691
FAPI_TEMPO_15_120,468.1818,9.8352,94.796,6.5642,0.345298,0.091708,0,0.0,0.0,5.647431,0.029885,0.273339,0.034167
FAPI_TEMPO_15_121,885.9504,13.5295,129.4061,7.6695,0.335171,0.079456,0,0.0,0.0,5.649664,0.021744,0.30341,0.037926
FAPI_TEMPO_15_122,906.6116,13.6864,119.5164,7.3706,0.202417,0.099108,0,0.0,0.0,5.460273,0.02146,0.53441,0.066801
FAPI_TEMPO_15_123,376.8595,8.824,96.7056,6.63,0.493609,0.07044,0,0.0,0.0,5.529471,0.033322,0.562036,0.070255
FAPI_TEMPO_15_124,568.8017,10.8407,94.9142,6.5683,0.20657,0.110851,0,0.0,0.0,5.34561,0.026975,0.752349,0.094044
FAPI_TEMPO_15_125,559.0909,10.7478,94.024,6.5374,0.205279,0.111564,0,0.0,0.0,5.463061,0.027251,0.585759,0.07322
FAPI_TEMPO_15_126,383.6777,8.9035,79.4329,6.0088,0.235855,0.116962,0,0.0,0.0,5.54088,0.032993,0.627928,0.078491
FAPI_TEMPO_15_127,1578.5124,18.0593,171.7033,8.8344,0.327177,0.069662,0,0.0,0.0,5.670926,0.016289,0.554461,0.069308
FAPI_TEMPO_15_128,1708.4711,18.788,183.2174,9.1258,0.360436,0.064099,0,0.0,0.0,5.382247,0.015606,0.284774,0.035597
FAPI_TEMPO_15_129,1153.3058,15.4365,174.4763,8.9055,0.523918,0.049016,0,0.0,0.0,5.477796,0.019016,0.399544,0.049943
FAPI_TEMPO_15_130,707.2314,12.0881,123.1984,7.4833,0.414454,0.071835,0,0.0,0.0,5.660206,0.024375,0.585636,0.073204
FAPI_TEMPO_15_131,749.1736,12.4414,114.6322,7.2184,0.283562,0.09101,0,0.0,0.0,5.478406,0.023583,0.404,0.0505
